,City,Population,Zip Codes
42,Long Beach,"467,354
","90801–90810, 90813–90815, 90822, 90831–90835, 90840, 90842, 90844, 90846–90848, 90853, 90895, 90899"
43,Virginia Beach,"450,189
",N/A
44,Oakland,"429,082
","94601–94615, 94617–94624, 94649, 94659–94662, 94666[15]"
45,Minneapolis,"425,403
",55401–55488 (range includes some ZIP Codes for Minneapolis suburbs)
46,Tulsa,"400,669
","
ZIP codes[3]
74101–74108, 74110, 74112, 74114–74117, 74119–74121, 74126, 74127–74137, 74141, 74145–74150, 74152–74153, 74155–74159, 74169–74172, 74182, 74186–74187, 74192–74193
"
47,Arlington,"398,112
",76000-76099 (76029 is exclusive to UT-Arlington)
48,Tampa,"392,890
","33601–33626, 33629–33631, 33633–33635, 33637, 33646, 33647, 33650, 33655, 33660–33664, 33672–33675, 33677, 33679–33682, 33684–33689, 33694[8]"
49,New Orleans,"391,006
",N/A
50,Wichita,"389,255
","67201-67221, 67223, 67226-67228, 67230, 67232, 67235, 67260, 67275-67278[7]"
51,Cleveland,"383,793
","
Zip codes[6]
44101-44106, 44108-44115, 44118-44122, 44124-44130, 44134-44135, 44143-44144, 44181, 44188, 44190-44195, 44197-44199
"
52,Bakersfield,"383,579
","93220, 93241, 93263, 93301–93309, 93311–93314, 93380–93390, 93399"
53,Aurora,"374,114
","80010-80019, 80040-80047 (all but 80045 PO Boxes), 80137, 80247[9]"
54,Anaheim,"352,005
","92801–92809, 92812, 92814–92817, 92825, 92850, 92899"
55,Honolulu,"347,397
",96801–96850
56,Santa Ana,"332,725
","92701–92708, 92711, 92712, 92728, 92735, 92799"
57,Riverside,"330,063
","92501–92509, 92513–92519, 92521–92522"
58,Corpus Christi,"326,554
","78401–78402, 78404–78418"
59,Lexington,"323,780
","40502–40517, 40522–40524, 40526, 40533, 40536, 40544, 40546, 40550, 40555, 40574–40583, 40588, 40591, 40598"
60,Stockton,"311,178
","95201–95213, 95215, 95219, 95267, 95269, 95296–95297"
61,Henderson,"310,390
","89002, 89009, 89011, 89012, 89014-89016, 89044, 89052, 89053, 89074, 89077"
62,Saint Paul,"307,695
",55101–55175
63,St. Louis,"302,838
","
(Almost all of63101-63199)[9]
63101-63141, 63143-63147, 63150-63151, 63155-63158, 63160, 63163-63164, 63166-63167, 63169, 63171, 63177-63180, 63182, 63188, 63190, 63195, 63197-63199
"
64,Cincinnati,"302,605
","
ZIP Codes[6]
45201–45209, 45211–45255, 45258, 45262–45264, 45267–45271, 45273–45275, 45277, 45280, 45296, 45298–45299, 45999
"
65,Pittsburgh,"301,048
","
34 total ZIP codes:
15106, 15120–15121, 15201, 15203–15208, 15210–15222, 15224, 15226–15227, 15230, 15232–15235, 15237, 15239, 15289, 15229
"
66,Greensboro,"294,722
","27214, 27282, 27301, 27358, 27401, 27402, 27403, 27404, 27405, 27406, 27407, 27408, 27409, 27410, 27411, 27412, 27413, 27415, 27420, 27412, 27429, 27435, 27438, 27455, 27495, 27497, 27498, 27499"
67,Anchorage,"291,538
","99501–99524, 99529-99530, 99599"
68,Plano,"288,061
","75023-26, 75074-75, 75086, 75093-94"
69,Lincoln,"287,401
","68501-68510, 68512, 68514, 68516-68517, 68520-68524, 68526-68529, 68531-68532, 68542, 68544, 68583, 68588"
70,Orlando,"285,713
",32825
71,Irvine,"282,572
","92602–92604, 92606, 92612, 92614, 92616–92620, 92623, 92650, 92697"
72,Newark,"282,090
","07101-07108, 07112, 07114[19][20]"
73,Toledo,"274,975
","
Zip codes[4]
43601, 43603-43615, 43617, 43620, 43623, 43635, 43652, 43654, 43656-43657, 43659-43661, 43666-43667, 43681-43682, 43697, 43699
"
